課程類別,群組,課程名稱,講師,進修人數,報名開始日期,報名結束日期,甄試資訊,進修時數,上課時間,課程開始日期,課程結束日期,課程內容,進修費用,報名資格,就業方向,筆試準備範圍,備註
一般課程,資通訊群組,Python視窗網路爬蟲,陳紀彰,25人,114.05.16 10:00,114.06.06 17:00,無須甄試，依官網報名順序且繳費完成者錄取,64小時,週二、四08:30~17:05,114.07.08,114.07.31,"1.基礎程式語言與環境設置 2.視窗框架與版面配置 3.事件綁定和回呼函式 4.HTML結構與資料爬取 5.實作互動式資料抓取器",1,400元,年滿15歲以上有電腦操作基礎者,"1.Python程式設計 2.Python資料搜集 3.專案規劃",無,
一般課程,資通訊群組,AI協作：數位創作,葉喬欣,25人,114.06.06 10:00,114.06.27 17:00,無須甄試，依官網報名順序且繳費完成者錄取,36小時,週一09:20~16:20,114.07.28,114.09.01,"1.AI繪圖基礎創作 2.AI生成文本、圖像、影像創作 3.VR體驗",1,000元,年滿15歲以上,"1.行銷 2.自媒體 3.內容創作者 4.社群小編 5.個人工作室",無,
進階課程,資通訊群組,數位晶片設計實作,倪同亮,25人,114.06.16 10:00,114.07.07 17:00,無須甄試，依官網報名順序且繳費完成者錄取,56小時,週六08:30~17:05,114.08.09,114.09.20,"1.VHDL開發軟體使用 2.CPLD晶片設計 3.電腦輔助繪圖設計 4.數位電路應用實作",1,400元,年滿15歲以上具電腦操作基礎,數位設計工程師、韌體及IC設計工程師,無,
進階課程,資通訊群組,AI辦公室智能應用進階,談應衡,25人,114.07.04 10:00,114.07.25 17:00,無須甄試，依官網報名順序且繳費完成者錄取,40小時,週六08:30~17:05,114.09.06,114.10.04,"1.電腦軟體應用乙級檢定輔導 2.辦公室AI功能應用與實作",1,000元,年滿15歲以上有電腦操作基礎,"1.行政 2.行銷 3.業務 4.秘書 5.活動記錄 6.個人工作室",無,
一般課程,資通訊群組,AI協作：數位應用,葉喬欣,25人,114.08.18 10:00,114.09.08 17:00,無須甄試，依官網報名順序且繳費完成者錄取,36小時,週一09:20~16:20,114.10.13,114.11.17,"1.AI繪圖基礎應用 2.AI輔助多媒體應用",1,000元,年滿15歲以上,"1.行銷 2.自媒體 3.內容創作者 4.社群小編 5.個人工作室",無,
進階課程,工業技術群組,室內配線實務,李彥霆,26人,114.07.17 10:00,114.08.14 17:00,114.08.19(二)09:00甄試,192小時,週六、週日08:30~17:05,114.09.21,114.12.28,"1.屋內電設施裝置及維護 2.電工常識",10,200元,"1.年滿15歲以上 2.具配電基本概念 3.具室內配線丙級技術士證或乙級報考資格為佳","1.電機技術人員 2.電機修護人員 3.室內配線人員","技能檢定中心編號00700","進階課程，部分假日不上課"
進階課程,工業技術群組,Rhino 3D珠寶繪圖(進階),朱怡鳳,20人,114.09.01 10:00,114.09.29 17:00,114.10.02(四)09:00甄試,64小時,週六08:30~17:05,114.11.08,114.12.27,"1.戒指、墜飾、鑽石鑲法繪圖 2.3D列印介紹",1,600元,年滿15歲以上,3D珠寶繪圖人員,"TQC+Rhino 7學科考題","進階課程"
一般課程,工業技術群組,蠟雕與手工具製作,朱怡鳳,20人,114.05.19 10:00,114.06.10 17:00,無須甄試，依官網報名順序且繳費完成者錄取,96小時,週二、週四08:30~17:05,114.07.15,114.08.21,"1.蠟雕技法 2.手工具製作",3,400元,年滿15歲以上,金工人員,無,
一般課程,工業技術群組,琺瑯器物製作,朱怡鳳,20人,114.09.08 10:00,114.09.29 17:00,無須甄試，依官網報名順序且繳費完成者錄取,128小時,週三、週五08:30~17:05,114.11.05,114.12.26,"1.鍛敲技法 2.銅器製作 3.琺瑯燒製技法",5,400元,年滿15歲以上,"1.金屬加工人員 2.文創工作者",無,
一般課程,服務業群組,經典傳統調酒,蘇珮君,25人,114.05.13 10:00,114.06.02 17:00,無須甄試，依官網報名順序且繳費完成者錄取,80小時,週一至五08:30~17:05,114.07.07,114.07.18,"1.六大基酒 2.經典酒款與調酒技法 3.杯飾製作 4.創意調酒 5.酒譜設計 6.品酒與感官訓練",3,800元,年滿18歲以上,酒類吧檯人員,無,
一般課程,服務業群組,幸福烘焙(以麵包為主),趙利華,28人,114.05.13 10:00,114.06.02 17:00,無須甄試，依官網報名順序且繳費完成者錄取,96小時,週二至四08:30~17:05,114.07.08,114.07.31,"1.歐式麵包 2.日式麵包 3.台式麵包 4.裏油麵包 5.烘焙材料計算",3,600元,年滿15歲以上,烘焙技術相關人員,無,
一般課程,服務業群組,魔法數位創藝達人,桂禮玲,25人,114.05.13 10:00,114.06.02 17:00,無須甄試，依官網報名順序且繳費完成者錄取,42小時,週二09:20~16:20,114.07.08,114.08.19,"1.數位工具應用 2.舊照片數位復原 3.個性化長輩圖 4.節日e卡設計 5.短影片設計 6.生活小物創作",1,100元,"年滿15歲以上，具電腦基礎","1.行政 2.業務 3.行銷 4.秘書",無,
一般課程,服務業群組,品牌視覺設計：從概念到實現,葉慶貞,25人,114.05.13 10:00,114.06.02 17:00,無須甄試，依官網報名順序且繳費完成者錄取,168小時,週二至四08:30~17:05,114.07.08,114.08.21,"1.品牌色彩與配色 2.商品形象攝影 3.AI智能文案創作 4.文字視覺轉化 5.影音剪輯 6.品牌識別設計",4,500元,年滿15歲以上有電腦操作基礎者,"1.品牌視覺設計人員 2.美術編輯人員 3.品牌企劃人員",無,
一般課程,服務業群組,蝶彩生活~蝶谷巴特創作,桂禮玲,25人,114.05.13 10:00,114.06.02 17:00,無須甄試，依官網報名順序且繳費完成者錄取,42小時,週四09:20~16:20,114.07.10,114.08.21,"1.蝶谷巴特技法介紹 2.蝶谷巴特實作教學 3.生活收納品 4.生活隨身物 5.居家裝飾小物 6.廢物再生改造",1,500元,年滿15歲以上,"1.文創商品設計 2.個人工作室",無,
一般課程,服務業群組,綠力學堂-打造專屬自己的微森林,黃鈺婷,25人,114.05.13 10:00,114.06.02 17:00,無須甄試，依官網報名順序且繳費完成者錄取,30小時,週五09:00~16:20,114.07.11,114.08.08,"1.園藝植物認識與應用 2.植物燈應用 3.室內植栽設計",1,400元,年滿15歲以上,"1.園藝療癒活動帶領 2.文創商品設計 3.個人文創工作室 4.綠植商品設計與銷售 5.植物風格師",無,
一般課程,服務業群組,樂活餐桌-養生健康料理,陳莉蓁,25人,114.05.13 10:00,114.06.02 17:00,無須甄試，依官網報名順序且繳費完成者錄取,72小時,週二至四08:30~17:05,114.07.15,114.07.31,"1.健康飲食養生概論 2.樂活養生餐點製作 3.樂活菜單規劃 4.綜合實習",4,100元,年滿15歲以上,中式餐飲技術相關人員,無,
進階課程,服務業群組,進階餐酒學：葡萄酒X餐食搭配,翁慧婷,24人,114.05.27 10:00,114.06.16 17:00,無須甄試，依官網報名順序且繳費完成者錄取,40小時,週三08:30~17:05,114.07.16,114.08.13,"1.侍酒技巧與餐酒搭配 2.世界知名產區紅白葡萄品種介紹與品飲 3.餐食製作 4.盲飲練習",1,700元,年滿18歲以上,酒業及餐飲業從業人員,無,
一般課程,服務業群組,市集魅力：創意攤位佈置攻略,葉慶貞,25人,114.05.27 10:00,114.06.16 17:00,無須甄試，依官網報名順序且繳費完成者錄取,40小時,週一08:30~17:05,114.07.21,114.08.18,"1.市集擺攤規劃 2.攤位形象設定與商品包裝 3.市集攤位展示型態 4.擺攤器材與陳列道具",1,300元,年滿15歲以上有電腦操作基礎者,"1.微型創業 2.市集攤位參與 3.實體活動推廣",無,
進階課程,服務業群組,機能服打版製作,陳官薇,25人,114.05.27 10:00,114.06.16 17:00,無須甄試，依官網報名順序且繳費完成者錄取,80小時,週一、二、四、五08:30~17:05,114.07.24,114.08.08,"1.運動機能服打版 2.針織布料應用 3.四線拷克、三本車、四針六線蹦縫車操作 4.T恤、運動背心、運動褲、瑜珈褲操作",2,200元,"年滿15歲以上，會使用平車、拷克機具，具服裝車縫基礎能力","1.樣品師 2.打版師 3.服飾修改人員 4.銷售服務人員",無,
進階課程,服務業群組,數位3D版型設計,陳官薇,25人,114.06.10 10:00,114.07.01 17:00,無須甄試，依官網報名順序且繳費完成者錄取,48小時,週六08:30~17:05,114.08.02,114.09.06,"1.TG3D Studio軟體操作 2.2D版型生成3D服裝 3.3D版型設計應用",3,000元,"年滿15歲以上，具服裝平面打版及電腦操作基礎能力","1.成衣3D助理技師 2.電腦打版助理 3.打版師 4.設計師",無,
一般課程,服務業群組,手工咖啡與咖啡感官基礎訓練,蘇珮君,25人,114.06.17 10:00,114.07.07 17:00,無須甄試，依官網報名順序且繳費完成者錄取,80小時,週一至五08:30~17:05,114.08.11,114.08.22,"1.機具與工具 2.認識精品咖啡 3.感官與杯測 4.手沖咖啡 5.虹吸咖啡 6.綜合練習",3,200元,年滿15歲以上,"1.咖啡吧檯員 2.咖啡廳人員 3.複合式餐廳吧檯人員",無,
一般課程,服務業群組,烘焙伴手禮,趙利華,28人,114.06.17 10:00,114.07.07 17:00,無須甄試，依官網報名順序且繳費完成者錄取,72小時,週二至四08:30~17:05,114.08.12,114.08.28,"1.烘焙材料 2.台式拌手禮 3.日式拌手禮 4.檢定拌手禮品項 5.烘焙材料計算",2,700元,年滿15歲以上,烘焙技術相關人員,無,
一般課程,服務業群組,家傳滋味-台菜小吃料理,陳莉蓁,25人,114.06.17 10:00,114.07.07 17:00,無須甄試，依官網報名順序且繳費完成者錄取,72小時,週二至四08:30-17:05,114.08.12,114.08.28,"1.台式餐點概論 2.台式家常菜小吃製作 3.台式清粥小菜系列 4.台式點心製作品鑑",4,100元,年滿15歲以上,中式餐飲技術相關人員,無,
一般課程,服務業群組,AI智慧與旅遊APP整合應用,陳素真,25人,114.06.17 10:00,114.07.07 17:00,無須甄試，依官網報名順序且繳費完成者錄取,64小時,週三、五08:30~17:05,114.08.15,114.09.10,"1.AI在旅遊中的基本應用 2.旅遊APP介紹 3.AI技術優化旅行計劃 4.旅遊APP與AI整合應用 5.使用AI工具進行行程規劃",1,400元,年滿15歲以上，自備手機及網路,"1.旅遊顧問 2.旅遊規劃師 3.數位行銷專員 4.自由行規劃師",無,
進階課程,服務業群組,照顧服務員線上課程完訓實習專班,曾奕嘉,30人,114.07.08 10:00,114.07.21 17:00,114.07.25(五)09:00甄試,64小時,週一至五08:30~17:05,114.08.20,114.08.29,"1.核心術科課程 2.臨床實習",1,500元,"114年2月17日起於衛福部長照專業人員數位學習平台取得照服員訓練數位化課程學習證明者","1.醫院/安養護中心/社區/病患/長照/陪病/居家服務員","技能檢定中心編號17800","進階課程"
一般課程,服務業群組,中小企業大補帖-氣候變遷的風險與機會,黃鈺婷,25人,114.07.01 10:00,114.07.21 17:00,無須甄試，依官網報名順序且繳費完成者錄取,24小時,週四、五09:00~16:20,114.08.28,114.09.05,"1.永續發展 2.氣候風險管理 3.永續治理",1,000元,年滿15歲以上,"1.中小企業主 2.永續管理人員 3.人力資源人員",無,
進階課程,服務業群組,照顧服務員術科輔導,曾奕嘉,25人,114.08.19 10:00,114.09.08 17:00,無須甄試，依官網報名順序且繳費完成者錄取,40小時,週二至四08:30~17:05,114.10.07,114.10.15,"1.照顧服務員技能檢定術科七大項",1,000元,"1.年滿16歲以上 2.符合照服員單一級技能檢定報檢資格 3.中高齡優先","1.醫院/安養護中心/社區/病患/長照/陪病/居家服務員",無,
一般課程,服務業群組,新勢力行銷：社群+影像設計強化,葉慶貞,25人,114.08.19 10:00,114.09.08 17:00,無須甄試，依官網報名順序且繳費完成者錄取,128小時,週二、四08:30~17:05,114.10.14,114.12.04,"1.AI與社群行銷 2.Photoshop/Illustrator圖文編排 3.生成式AI工具 4.Premiere影音剪輯 5.社群平台素材設計",3,500元,年滿15歲以上有電腦操作基礎者,"1.社群企劃行銷人員 2.行銷設計人員 3.電商美術設計",無,
一般課程,服務業群組,輕鬆學會PhotoShop,王敏為,25人,114.09.02 10:00,114.09.22 17:00,無須甄試，依官網報名順序且繳費完成者錄取,48小時,週一、三08:30~17:05,114.10.20,114.11.05,"1.PhotoShop入門 2.影像編修 3.去背與合成 4.人像修片",1,500元,年滿15歲以上有電腦操作基礎者,"1.個人工作室 2.自行接案 3.後製人員",無,
一般課程,服務業群組,中小企業大補帖-碳盤查必修課,黃鈺婷,25人,114.09.02 10:00,114.09.22 17:00,無須甄試，依官網報名順序且繳費完成者錄取,48小時,週五、六09:00~16:20,114.10.24,114.11.15,"1.溫室氣體環境與法規趨勢 2.組織型碳盤查框架與規範 3.Excel資料庫與盤查數據系統原型 4.產品型碳盤查 5.利害關係人議合",1,100元,年滿15歲以上,"1.中小企業主 2.永續管理人員 3.人力資源人員",無,
一般課程,服務業群組,創意生活木作,王敏為,25人,114.09.09 10:00,114.09.30 17:00,無須甄試，依官網報名順序且繳費完成者錄取,120小時,週二、四08:30~17:05,114.11.04,114.12.23,"1.木工基本技巧 2.材料認識 3.創意木作小物",4,400元,年滿15歲以上,"1.個人工作室 2.自行接案 3.市集擺攤",無,
一般課程,服務業群組,坐月子服務人員,翁慧婷,24人,114.09.09 10:00,114.09.30 17:00,無須甄試，依官網報名順序且繳費完成者錄取,96小時,週二、四08:30~15:10,114.11.04,114.12.25,"1.產婦及新生兒照護 2.月子餐及副食品備製 3.嬰幼兒按摩 4.衣物洗滌 5.居家清潔收納",3,600元,年滿18歲以上,"1.產後護理之家保育人員 2.居家式及到宅托育保母",無,
進階課程,服務業群組,男士服裝製作,陳官薇,25人,114.09.09 10:00,114.09.30 17:00,無須甄試，依官網報名順序且繳費完成者錄取,160小時,週一至三08:30~17:05,114.11.10,114.12.23,"1.男士西裝外套基礎概念 2.打版技術 3.縫製 4.體型補正",5,100元,"年滿15歲以上，會使用平車機具、拷克具備服裝車縫基礎能力","1.服裝打版助理 2.服裝製作助理 3.服裝樣品製作人員 4.縫合、製作人員 5.銷售服務人員 6.服裝修改人員",無,
一般課程,服務業群組,品味生活-美味蔬食料理,陳莉蓁,25人,114.10.14 10:00,114.11.03 17:00,無須甄試，依官網報名順序且繳費完成者錄取,72小時,週二至四08:30-17:05,114.12.09,114.12.25,"1.蔬食餐點概論 2.烹調法製作 3.蔬食餐點製作 4.綜合實習",3,200元,年滿15歲以上,中式餐飲技術相關人員,無,
